SPINNAKER_APPLICATION_NAME,APP_SHORT_NAME_UPPERCASE,SPINNAKER_PIPELINE_NAME,SUBMIT_TO_IDUN_STAGING_PARAMETER,SUBMIT_TO_EO_STAGING_PARAMETER,APPLICATION_STAGING_PIPELINE_ID,MICROSERVICE_TEAM_EMAILS,AAS_E2E_FLOW_PIPELINE_ID,SKIP_PRE_TESTING_PARAMETER
app-mgr-e2e-cicd,APPMGR,eric-lcm-helm-chart-registry-E2E-Flow,true,false,3e52c10f-e245-480f-a2b7-7b766c01ffa4,"PDLOUTCAST@pdl.internal.ericsson.com,PDLONTEAMS@pdl.internal.ericsson.com,PDLONEYCOM@pdl.internal.ericsson.com",4bf9511b-4d90-4154-b0cf-e5ea68ceccae,true
app-mgr-e2e-cicd,APPMGR,eric-lcm-container-registry-E2E-Flow,true,false,3e52c10f-e245-480f-a2b7-7b766c01ffa4,"PDLOUTCAST@pdl.internal.ericsson.com,PDLONTEAMS@pdl.internal.ericsson.com,PDLONEYCOM@pdl.internal.ericsson.com",a042485f-99bd-4a51-bb88-283b6e20c702,true
app-mgr-e2e-cicd,APPMGR,eric-appmgr-data-document-database-pg-E2E-Flow,true,false,3e52c10f-e245-480f-a2b7-7b766c01ffa4,"PDLOUTCAST@pdl.internal.ericsson.com,PDLONTEAMS@pdl.internal.ericsson.com,PDLONEYCOM@pdl.internal.ericsson.com",6ab3bc67-700f-43f1-b42d-a5a739511cf7,true
dmm-e2e-cicd,DMM,eric-dmm-data-document-database-pg-E2E-Flow,true,false,684bc696-7598-45d9-b975-bfa6b618a631,"PDLTEAMMID@pdl.internal.ericsson.com,PDLTEAMSUN@pdl.internal.ericsson.com",c5c8fa7a-2733-4dad-9114-d33d7a86c5c7,true
topology-handling-e2e-cicd,TH,eric-th-data-document-database-pg-E2E-Flow,true,false,fe5ca561-63cd-430d-9050-a8376827592c,"PDLENMTEAM@pdl.internal.ericsson.com,guruprasad.ambi@wipro.com,SA40066690@wipro.com,chukka.jyothsna@wipro.com",770f103f-d193-44f2-9eed-176df3f517fa,true
eas-e2e-cicd,EAS,eric-eas-data-document-database-pg-E2E-Flow,true,false,e10893df-7000-41f3-af41-8967337afcba,"PDLEOENFVO@pdl.internal.ericsson.com,PDLTSP6AUT@ericsson.com",4457b65e-3384-44ac-90c0-a2b1f70b6e53,true
config-handling-e2e-cicd,CH,eric-ch-data-document-database-pg-E2E-Flow,true,false,96f936b7-f9f5-4da9-8d37-7940db4bd0fa,PDLEOENFVO@pdl.internal.ericsson.com,4aaa0c9e-4782-4bb3-88e4-c2a3c21fd10c,true
ta-e2e-cicd,TA,eric-task-automation-data-document-database-pg-E2E-Flow,true,false,1099757c-4eb6-445b-8970-59427fd12146,"PDLOUTCAST@pdl.internal.ericsson.com,PDLTEAMSAG@pdl.internal.ericsson.com,PDLAMINDIG@pdl.internal.ericsson.com,PDLONTEAMS@pdl.internal.ericsson.com",de5321d5-20b7-4e00-87e5-a65fd9fc3455,false
ml-e2e-cicd,ML,eric-ml-data-document-database-pg-E2E-Flow,true,false,1373040f-6bf1-47a4-81f4-2428b53ebfbe,PDLSMOKETE@pdl.internal.ericsson.com,056db8c0-56c7-45c2-a991-acea028af1a8,false
ml-e2e-cicd,ML,eric-aiml-model-lcm-E2E-Flow,true,false,1373040f-6bf1-47a4-81f4-2428b53ebfbe,PDLSMOKETE@pdl.internal.ericsson.com,bc380b0d-c0d3-4cd9-9ae0-dad527137f5e,false
ml-e2e-cicd,ML,eric-aiml-model-lcm-crd-E2E-Flow,true,false,1373040f-6bf1-47a4-81f4-2428b53ebfbe,PDLSMOKETE@pdl.internal.ericsson.com,e590ac30-52d0-4e53-9900-40dcc3dc098c,false
ta-e2e-cicd,TA,eric-task-automation-log-shipper-E2E-Flow,true,false,1099757c-4eb6-445b-8970-59427fd12146,"PDLOUTCAST@pdl.internal.ericsson.com,PDLTEAMSAG@pdl.internal.ericsson.com,PDLAMINDIG@pdl.internal.ericsson.com,PDLONTEAMS@pdl.internal.ericsson.com",f211a253-0757-4a3c-8ebb-78a6341aee07,false
dmm-e2e-cicd,DMM,eric-dmm-log-shipper-E2E-Flow,true,false,684bc696-7598-45d9-b975-bfa6b618a631,"PDLTEAMMID@pdl.internal.ericsson.com,PDLTEAMSUN@pdl.internal.ericsson.com",8866975c-54bd-45f9-bbfc-eb64d5eed385,true
